exchange,cal_date,is_open
SSE,20210211,1
SSE,20210212,1
SSE,20210215,1
SSE,20210216,1
SSE,20210217,1
SSE,20210218,1
SSE,20210219,1
SSE,20210222,1
SSE,20210223,1
SSE,20210224,1
SSE,20210225,1
SSE,20210226,1
SSE,20210301,1
SSE,20210302,1
SSE,20210303,1
SSE,20210304,1
SSE,20210305,1
SSE,20210308,1
SSE,20210309,1
SSE,20210310,1
SSE,20210311,1
SSE,20210312,1
SSE,20210315,1
SSE,20210316,1
SSE,20210317,1
SSE,20210318,1
SSE,20210319,1
SSE,20210322,1
SSE,20210323,1
SSE,20210324,1
SSE,20210325,1
SSE,20210326,1
SSE,20210329,1
SSE,20210330,1
SSE,20210331,1
SSE,20210401,1
SSE,20210402,1
SSE,20210405,1
SSE,20210406,1
SSE,20210407,1
SSE,20210408,1
SSE,20210409,1
SSE,20210412,1
SSE,20210413,1
SSE,20210414,1
SSE,20210415,1
SSE,20210416,1
SSE,20210419,1
SSE,20210420,1
SSE,20210421,1
SSE,20210422,1
SSE,20210423,1
SSE,20210426,1
SSE,20210427,1
SSE,20210428,1
SSE,20210429,1
SSE,20210430,1
SSE,20210503,1
SSE,20210504,1
SSE,20210505,1
SSE,20210506,1
SSE,20210507,1
SSE,20210510,1
SSE,20210511,1
SSE,20210512,1
SSE,20210513,1
SSE,20210514,1
SSE,20210517,1
SSE,20210518,1
SSE,20210519,1
SSE,20210520,1
SSE,20210521,1
SSE,20210524,1
SSE,20210525,1
SSE,20210526,1
SSE,20210527,1
SSE,20210528,1
SSE,20210531,1
SSE,20210601,1
SSE,20210602,1
SSE,20210603,1
SSE,20210604,1
SSE,20210607,1
SSE,20210608,1
SSE,20210609,1
SSE,20210610,1
SSE,20210611,1
SSE,20210614,1
SSE,20210615,1
SSE,20210616,1
SSE,20210617,1
SSE,20210618,1
SSE,20210621,1
SSE,20210622,1
SSE,20210623,1
SSE,20210624,1
SSE,20210625,1
SSE,20210628,1
SSE,20210629,1
SSE,20210630,1
SZSE,20200102,1
SZSE,20200103,1
SZSE,20200106,1
SZSE,20200107,1
SZSE,20200108,1
SZSE,20200109,1
SZSE,20200110,1
SZSE,20200113,1
SZSE,20200114,1
SZSE,20200115,1
SZSE,20200116,1
SZSE,20200117,1
SZSE,20200120,1
SZSE,20200121,1
SZSE,20200122,1
SZSE,20200123,1
SZSE,20200124,1
SZSE,20200127,1
SZSE,20200128,1
SZSE,20200129,1
SZSE,20200130,1
SZSE,20200131,1
SZSE,20200203,1
SZSE,20200204,1
SZSE,20200205,1
SZSE,20200206,1
SZSE,20200207,1
SZSE,20200210,1
SZSE,20200211,1
SZSE,20200212,1
SZSE,20200213,1
SZSE,20200214,1
SZSE,20200217,1
SZSE,20200218,1
SZSE,20200219,1
SZSE,20200220,1
SZSE,20200221,1
SZSE,20200224,1
SZSE,20200225,1
SZSE,20200226,1
SZSE,20200227,1
SZSE,20200228,1
SZSE,20200302,1
SZSE,20200303,1
SZSE,20200304,1
SZSE,20200305,1
SZSE,20200306,1
SZSE,20200309,1
SZSE,20200310,1
SZSE,20200311,1
SZSE,20200312,1
SZSE,20200313,1
SZSE,20200316,1
SZSE,20200317,1
SZSE,20200318,1
SZSE,20200319,1
SZSE,20200320,1
SZSE,20200323,1
SZSE,20200324,1
SZSE,20200325,1
SZSE,20200326,1
SZSE,20200327,1
SZSE,20200330,1
SZSE,20200331,1
SZSE,20200401,1
SZSE,20200402,1
SZSE,20200403,1
SZSE,20200406,1
SZSE,20200407,1
SZSE,20200408,1
SZSE,20200409,1
SZSE,20200410,1
SZSE,20200413,1
SZSE,20200414,1
SZSE,20200415,1
SZSE,20200416,1
SZSE,20200417,1
SZSE,20200420,1
SZSE,20200421,1
SZSE,20200422,1
SZSE,20200423,1
SZSE,20200424,1
SZSE,20200427,1
SZSE,20200428,1
SZSE,20200429,1
SZSE,20200430,1
SZSE,20200501,1
SZSE,20200504,1
SZSE,20200505,1
SZSE,20200506,1
SZSE,20200507,1
SZSE,20200508,1
SZSE,20200511,1
SZSE,20200512,1
SZSE,20200513,1
SZSE,20200514,1
SZSE,20200515,1
SZSE,20200518,1
SZSE,20200519,1
SZSE,20200520,1
SZSE,20200521,1
SZSE,20200522,1
SZSE,20200525,1
SZSE,20200526,1
SZSE,20200527,1
SZSE,20200528,1
SZSE,20200529,1
SZSE,20200601,1
SZSE,20200602,1
SZSE,20200603,1
SZSE,20200604,1
SZSE,20200605,1
SZSE,20200608,1
SZSE,20200609,1
SZSE,20200610,1
SZSE,20200611,1
SZSE,20200612,1
SZSE,20200615,1
SZSE,20200616,1
SZSE,20200617,1
SZSE,20200618,1
SZSE,20200619,1
SZSE,20200622,1
SZSE,20200623,1
SZSE,20200624,1
SZSE,20200625,1
SZSE,20200626,1
SZSE,20200629,1
SZSE,20200630,1
SZSE,20200701,1
SZSE,20200702,1
SZSE,20200703,1
SZSE,20200706,1
SZSE,20200707,1
SZSE,20200708,1
SZSE,20200709,1
SZSE,20200710,1
SZSE,20200713,1
SZSE,20200714,1
SZSE,20200715,1
SZSE,20200716,1
SZSE,20200717,1
SZSE,20200720,1
SZSE,20200721,1
SZSE,20200722,1
SZSE,20200723,1
SZSE,20200724,1
SZSE,20200727,1
SZSE,20200728,1
SZSE,20200729,1
SZSE,20200730,1
SZSE,20200731,1
SZSE,20200803,1
SZSE,20200804,1
SZSE,20200805,1
SZSE,20200806,1
SZSE,20200807,1
SZSE,20200810,1
SZSE,20200811,1
SZSE,20200812,1
SZSE,20200813,1
SZSE,20200814,1
SZSE,20200817,1
SZSE,20200818,1
SZSE,20200819,1
SZSE,20200820,1
SZSE,20200821,1
SZSE,20200824,1
SZSE,20200825,1
SZSE,20200826,1
SZSE,20200827,1
SZSE,20200828,1
SZSE,20200831,1
SZSE,20200901,1
SZSE,20200902,1
SZSE,20200903,1
SZSE,20200904,1
SZSE,20200907,1
SZSE,20200908,1
SZSE,20200909,1
SZSE,20200910,1
SZSE,20200911,1
SZSE,20200914,1
SZSE,20200915,1
SZSE,20200916,1
SZSE,20200917,1
SZSE,20200918,1
SZSE,20200921,1
SZSE,20200922,1
SZSE,20200923,1
SZSE,20200924,1
SZSE,20200925,1
SZSE,20200928,1
SZSE,20200929,1
SZSE,20200930,1
SZSE,20201001,1
SZSE,20201002,1
SZSE,20201005,1
SZSE,20201006,1
SZSE,20201007,1
SZSE,20201008,1
SZSE,20201009,1
SZSE,20201012,1
SZSE,20201013,1
SZSE,20201014,1
SZSE,20201015,1
SZSE,20201016,1
SZSE,20201019,1
SZSE,20201020,1
SZSE,20201021,1
SZSE,20201022,1
SZSE,20201023,1
SZSE,20201026,1
SZSE,20201027,1
SZSE,20201028,1
SZSE,20201029,1
SZSE,20201030,1
SZSE,20201102,1
SZSE,20201103,1
SZSE,20201104,1
SZSE,20201105,1
SZSE,20201106,1
SZSE,20201109,1
SZSE,20201110,1
SZSE,20201111,1
SZSE,20201112,1
SZSE,20201113,1
SZSE,20201116,1
SZSE,20201117,1
SZSE,20201118,1
SZSE,20201119,1
SZSE,20201120,1
SZSE,20201123,1
SZSE,20201124,1
SZSE,20201125,1
SZSE,20201126,1
SZSE,20201127,1
SZSE,20201130,1
SZSE,20201201,1
SZSE,20201202,1
SZSE,20201203,1
SZSE,20201204,1
SZSE,20201207,1
SZSE,20201208,1
SZSE,20201209,1
SZSE,20201210,1
SZSE,20201211,1
SZSE,20201214,1
SZSE,20201215,1
SZSE,20201216,1
SZSE,20201217,1
SZSE,20201218,1
SZSE,20201221,1
SZSE,20201222,1
SZSE,20201223,1
SZSE,20201224,1
SZSE,20201225,1
SZSE,20201228,1
SZSE,20201229,1
SZSE,20201230,1
SZSE,20201231,1
SZSE,20210101,1
SZSE,20210104,1
SZSE,20210105,1
SZSE,20210106,1
SZSE,20210107,1
SZSE,20210108,1
SZSE,20210111,1
SZSE,20210112,1
SZSE,20210113,1
SZSE,20210114,1
SZSE,20210115,1
SZSE,20210118,1
SZSE,20210119,1
SZSE,20210120,1
SZSE,20210121,1
SZSE,20210122,1
SZSE,20210125,1
SZSE,20210126,1
SZSE,20210127,1
SZSE,20210128,1
SZSE,20210129,1
SZSE,20210201,1
SZSE,20210202,1
SZSE,20210203,1
SZSE,20210204,1
SZSE,20210205,1
SZSE,20210208,1
SZSE,20210209,1
SZSE,20210210,1
SZSE,20210211,1
SZSE,20210212,1
SZSE,20210215,1
SZSE,20210216,1
SZSE,20210217,1
SZSE,20210218,1
SZSE,20210219,1
SZSE,20210222,1
SZSE,20210223,1
SZSE,20210224,1
SZSE,20210225,1
SZSE,20210226,1
SZSE,20210301,1
SZSE,20210302,1
SZSE,20210303,1
SZSE,20210304,1
SZSE,20210305,1
SZSE,20210308,1
SZSE,20210309,1
SZSE,20210310,1
SZSE,20210311,1
SZSE,20210312,1
SZSE,20210315,1
SZSE,20210316,1
SZSE,20210317,1
SZSE,20210318,1
SZSE,20210319,1
SZSE,20210322,1
SZSE,20210323,1
SZSE,20210324,1
SZSE,20210325,1
SZSE,20210326,1
SZSE,20210329,1
SZSE,20210330,1
SZSE,20210331,1
SZSE,20210401,1
SZSE,20210402,1
SZSE,20210405,1
SZSE,20210406,1
SZSE,20210407,1
SZSE,20210408,1
SZSE,20210409,1
SZSE,20210412,1
SZSE,20210413,1
SZSE,20210414,1
SZSE,20210415,1
SZSE,20210416,1
SZSE,20210419,1
SZSE,20210420,1
SZSE,20210421,1
SZSE,20210422,1
SZSE,20210423,1
SZSE,20210426,1
SZSE,20210427,1
SZSE,20210428,1
SZSE,20210429,1
SZSE,20210430,1
SZSE,20210503,1
SZSE,20210504,1
SZSE,20210505,1
SZSE,20210506,1
SZSE,20210507,1
SZSE,20210510,1
SZSE,20210511,1
SZSE,20210512,1
SZSE,20210513,1
SZSE,20210514,1
SZSE,20210517,1
SZSE,20210518,1
SZSE,20210519,1
SZSE,20210520,1
SZSE,20210521,1
SZSE,20210524,1
SZSE,20210525,1
SZSE,20210526,1
SZSE,20210527,1
SZSE,20210528,1
SZSE,20210531,1
SZSE,20210601,1
SZSE,20210602,1
SZSE,20210603,1
SZSE,20210604,1
SZSE,20210607,1
SZSE,20210608,1
SZSE,20210609,1
SZSE,20210610,1
SZSE,20210611,1
SZSE,20210614,1
SZSE,20210615,1
SZSE,20210616,1
SZSE,20210617,1
SZSE,20210618,1
SZSE,20210621,1
SZSE,20210622,1
SZSE,20210623,1
SZSE,20210624,1
SZSE,20210625,1
SZSE,20210628,1
SZSE,20210629,1
SZSE,20210630,1
